Timestamp,Age,Education Level,Number of Courses,Hours of Sleep,Time of Sleep,Hours of Part-Time Job,Number of Extracurricular Activities,Hours of Studying,Study Methods,Break Frequency,Focus Methods,Challenge when Studying,Distraction Frequency,Resources if Stuck,Study Motivation,Current Study Habits Rating
4/9/2025 23:47:36,18 - 21,Undergraduate,3 - 4,6 - 7 hours,After 12 AM,"Yes, 10 - 20 hours per week",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Practice exams / questions",Every 15 - 30 minutes,Background Music,Procrastination,Often (I struggle to concentrate for long periods),Visit the professor's office hours,Fear of failing a class,Not very effective (I struggle to stay consistent or motivated)
4/10/2025 0:45:45,18 - 21,High School,5+,6 - 7 hours,11 - 12 AM,"Yes, 10 - 20 hours per week",1 - 2 activities,1 - 2 hours,"Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",Every 30 minutes - 1 hour,Silence,Difficulty staying focused,Often (I struggle to concentrate for long periods),"Use online resources (YouTube, Khan Academy, etc.)",Fear of failing a class,Not very effective (I struggle to stay consistent or motivated)
4/10/2025 1:21:37,18 - 21,Undergraduate,5+,6 - 7 hours,After 12 AM,"No, I am currently not working",0 activities,More than 4 hours,"Writing notes by hand, Reviewing slides or reading textbook, Practice exams / questions",Every 1 - 2 hours,Silence,Not enough time to study,Very Often (I constantly get distracted and lose focus),"Use online resources (YouTube, Khan Academy, etc.)",Desire to get good grades,"Somewhat effective (I get my work done, but there is room for improvement)"
4/10/2025 6:57:55,18 - 21,Undergraduate,5+,8+ hours,10 - 11 PM,"No, I am currently not working",0 activities,More than 4 hours,Writing notes by hand,Every 15 - 30 minutes,Pomodoro Technique (study in short bursts with breaks),Lack of motiviation,Very Often (I constantly get distracted and lose focus),"Use online resources (YouTube, Khan Academy, etc.)",Fear of failing a class,Not very effective (I struggle to stay consistent or motivated)
4/10/2025 9:48:35,18 - 21,Undergraduate,3 - 4,8+ hours,After 12 AM,"Yes, 10 - 20 hours per week",0 activities,Less than one hour,Practice exams / questions,Every 1 - 2 hours,Reward System (small breaks or treats after tasks),Lack of motiviation,"Sometimes (I get distracted, but can refocus easily)",Figure it out myself,Career or future goals,Very effective (I rarely struggle with studying)
4/13/2025 22:46:56,18 - 21,Undergraduate,3 - 4,4 - 5 hours,After 12 AM,"Yes, 10 - 20 hours per week",3 - 4 activities,1 - 2 hours,Practice exams / questions,Every 15 - 30 minutes,Background Music,Not enough time to study,Often (I struggle to concentrate for long periods),Skip it and move on,"Pressure from friends, family, and teachers","Somewhat effective (I get my work done, but there is room for improvement)"
4/13/2025 22:53:24,18 - 21,Undergraduate,3 - 4,6 - 7 hours,After 12 AM,"Yes, 10 - 20 hours per week",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Practice exams / questions",Every 15 - 30 minutes,Background Music,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),"Use online resources (YouTube, Khan Academy, etc.)",Career or future goals,"Somewhat effective (I get my work done, but there is room for improvement)"
4/13/2025 22:55:56,18 - 21,Undergraduate,5+,6 - 7 hours,After 12 AM,"No, I am currently not working",0 activities,3 - 4 hours,"Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",Every 30 minutes - 1 hour,Silence,Difficulty staying focused,Often (I struggle to concentrate for long periods),Ask a classmate or friend,Desire to get good grades,Not very effective (I struggle to stay consistent or motivated)
4/13/2025 22:58:42,18 - 21,Undergraduate,5+,6 - 7 hours,After 12 AM,"Yes, 10 - 20 hours per week",1 - 2 activities,1 - 2 hours,Practice exams / questions,Every 15 - 30 minutes,Reward System (small breaks or treats after tasks),Trouble understanding the material,Often (I struggle to concentrate for long periods),"Use online resources (YouTube, Khan Academy, etc.)",Career or future goals,"Somewhat effective (I get my work done, but there is room for improvement)"
4/13/2025 23:57:23,22 - 30,Undergraduate,1 - 2,6 - 7 hours,10 - 11 PM,"Yes, less than 10 hours per week",0 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook",I rarely take breaks,Background Music,Not enough time to study,"Sometimes (I get distracted, but can refocus easily)","Use online resources (YouTube, Khan Academy, etc.)",Career or future goals,Very effective (I rarely struggle with studying)
4/21/2025 16:19:40,22 - 30,Undergraduate,5+,6 - 7 hours,10 - 11 PM,"Yes, 10 - 20 hours per week",3 - 4 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",Every 30 minutes - 1 hour,Silence,Difficulty staying focused,Often (I struggle to concentrate for long periods),"Use online resources (YouTube, Khan Academy, etc.)",Fear of failing a class,Not very effective (I struggle to stay consistent or motivated)
4/21/2025 18:05:18,18 - 21,Undergraduate,5+,Less than 4 hours,After 12 AM,"Yes, more than 20 hours per week",0 activities,Less than one hour,Practice exams / questions,Every 15 - 30 minutes,Silence,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),Skip it and move on,Desire to get good grades,Ineffective (I feel lost and don't know how to improve)
4/21/2025 18:08:55,Under 18,Trade/Vocational,3 - 4,6 - 7 hours,10 - 11 PM,"Yes, less than 10 hours per week",More than 4 activities,3 - 4 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",Every 1 - 2 hours,Background Music,Trouble understanding the material,Often (I struggle to concentrate for long periods),Figure it out myself,Interest in learning the subject,Ineffective (I feel lost and don't know how to improve)
4/21/2025 18:10:02,18 - 21,Undergraduate,5+,8+ hours,Before 10 PM,"Yes, more than 20 hours per week",More than 4 activities,More than 4 hours,"Flashcards, Writing notes by hand, Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",I rarely take breaks,Pomodoro Technique (study in short bursts with breaks),Difficulty staying focused,Rarely (I stay focused most of the time),Visit the professor's office hours,Interest in learning the subject,Very effective (I rarely struggle with studying)
4/21/2025 18:11:28,31+,Graduate,5+,6 - 7 hours,10 - 11 PM,"Yes, 10 - 20 hours per week",3 - 4 activities,1 - 2 hours,"Writing notes by hand, Watching online videos",Every 15 - 30 minutes,Silence,Lack of motiviation,Often (I struggle to concentrate for long periods),Ask a classmate or friend,Fear of failing a class,Not very effective (I struggle to stay consistent or motivated)
4/21/2025 18:12:17,18 - 21,Undergraduate,3 - 4,Less than 4 hours,After 12 AM,"No, I am currently not working",0 activities,Less than one hour,Watching online videos,Every 15 - 30 minutes,Silence,Lack of motiviation,Rarely (I stay focused most of the time),Ask a classmate or friend,Desire to get good grades,Ineffective (I feel lost and don't know how to improve)
4/21/2025 18:19:16,22 - 30,Graduate,3 - 4,8+ hours,Before 10 PM,"Yes, more than 20 hours per week",More than 4 activities,More than 4 hours,"Reviewing slides or reading textbook, Practice exams / questions",I rarely take breaks,Pomodoro Technique (study in short bursts with breaks),Lack of motiviation,Rarely (I stay focused most of the time),Visit the professor's office hours,Career or future goals,Very effective (I rarely struggle with studying)
4/21/2025 18:23:58,22 - 30,Undergraduate,3 - 4,6 - 7 hours,Before 10 PM,"No, I am currently not working",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",Every 15 - 30 minutes,Pomodoro Technique (study in short bursts with breaks),Trouble understanding the material,Often (I struggle to concentrate for long periods),Skip it and move on,Desire to get good grades,"Somewhat effective (I get my work done, but there is room for improvement)"
4/21/2025 18:25:15,Under 18,High School,5+,Less than 4 hours,After 12 AM,"No, I am currently not working",0 activities,Less than one hour,Watching online videos,Every 15 - 30 minutes,Silence,Not enough time to study,Very Often (I constantly get distracted and lose focus),Ask a classmate or friend,Fear of failing a class,Ineffective (I feel lost and don't know how to improve)
4/21/2025 18:25:46,18 - 21,High School,1 - 2,Less than 4 hours,After 12 AM,"No, I am currently not working",0 activities,Less than one hour,Writing notes by hand,Every 15 - 30 minutes,Silence,Difficulty staying focused,Very Often (I constantly get distracted and lose focus),Ask a classmate or friend,Desire to get good grades,Ineffective (I feel lost and don't know how to improve)
4/21/2025 18:33:04,22 - 30,Graduate,3 - 4,8+ hours,Before 10 PM,"Yes, more than 20 hours per week",More than 4 activities,More than 4 hours,"Reviewing slides or reading textbook, Watching online videos, Practice exams / questions",I rarely take breaks,Pomodoro Technique (study in short bursts with breaks),Trouble understanding the material,Rarely (I stay focused most of the time),Visit the professor's office hours,Desire to get good grades,Very effective (I rarely struggle with studying)
4/21/2025 19:06:29,22 - 30,Undergraduate,3 - 4,8+ hours,Before 10 PM,"No, I am currently not working",More than 4 activities,More than 4 hours,"Flashcards, Writing notes by hand",I rarely take breaks,Pomodoro Technique (study in short bursts with breaks),Not enough time to study,Rarely (I stay focused most of the time),Visit the professor's office hours,Interest in learning the subject,Very effective (I rarely struggle with studying)
4/21/2025 19:31:46,22 - 30,Graduate,5+,8+ hours,Before 10 PM,"Yes, more than 20 hours per week",More than 4 activities,More than 4 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",I rarely take breaks,Pomodoro Technique (study in short bursts with breaks),Lack of motiviation,Rarely (I stay focused most of the time),Visit the professor's office hours,Interest in learning the subject,Very effective (I rarely struggle with studying)
4/21/2025 20:13:33,22 - 30,Undergraduate,3 - 4,6 - 7 hours,10 - 11 PM,"Yes, more than 20 hours per week",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",Every 30 minutes - 1 hour,Reward System (small breaks or treats after tasks),Not enough time to study,Often (I struggle to concentrate for long periods),Skip it and move on,Desire to get good grades,Very effective (I rarely struggle with studying)
4/21/2025 22:06:23,18 - 21,Graduate,3 - 4,Less than 4 hours,Before 10 PM,"Yes, more than 20 hours per week",1 - 2 activities,More than 4 hours,"Flashcards, Reviewing slides or reading textbook",I rarely take breaks,Silence,Procrastination,Often (I struggle to concentrate for long periods),Ask a classmate or friend,Interest in learning the subject,Not very effective (I struggle to stay consistent or motivated)
4/21/2025 22:07:01,Under 18,High School,3 - 4,6 - 7 hours,11 - 12 AM,"Yes, 10 - 20 hours per week",1 - 2 activities,1 - 2 hours,"Watching online videos, Practice exams / questions",Every 30 minutes - 1 hour,Background Music,Procrastination,"Sometimes (I get distracted, but can refocus easily)",Figure it out myself,Desire to get good grades,"Somewhat effective (I get my work done, but there is room for improvement)"
4/21/2025 22:07:43,22 - 30,Undergraduate,3 - 4,6 - 7 hours,10 - 11 PM,"Yes, less than 10 hours per week",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",Every 15 - 30 minutes,Reward System (small breaks or treats after tasks),Trouble understanding the material,Often (I struggle to concentrate for long periods),Ask a classmate or friend,Interest in learning the subject,"Somewhat effective (I get my work done, but there is room for improvement)"
4/21/2025 22:11:37,18 - 21,Undergraduate,5+,8+ hours,Before 10 PM,"Yes, more than 20 hours per week",More than 4 activities,More than 4 hours,"Flashcards, Writing notes by hand, Watching online videos",Every 1 - 2 hours,Pomodoro Technique (study in short bursts with breaks),Trouble understanding the material,Rarely (I stay focused most of the time),Ask a classmate or friend,Career or future goals,Very effective (I rarely struggle with studying)
4/21/2025 22:12:27,22 - 30,Undergraduate,3 - 4,Less than 4 hours,After 12 AM,"No, I am currently not working",0 activities,Less than one hour,Flashcards,Every 15 - 30 minutes,Silence,Lack of motiviation,Very Often (I constantly get distracted and lose focus),Skip it and move on,Desire to get good grades,Ineffective (I feel lost and don't know how to improve)
4/21/2025 22:15:42,22 - 30,Undergraduate,3 - 4,6 - 7 hours,10 - 11 PM,"Yes, 10 - 20 hours per week",1 - 2 activities,1 - 2 hours,"Writing notes by hand, Reviewing slides or reading textbook, Watching online videos",Every 30 minutes - 1 hour,Silence,Difficulty staying focused,Often (I struggle to concentrate for long periods),Ask a classmate or friend,Desire to get good grades,"Somewhat effective (I get my work done, but there is room for improvement)"
